AÑO,TRIMESTRE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2023,1,95,GUAVIARE,95200,MIRAFLORES,17,7947,"0,21"
2022,2,05,ANTIOQUIA,05756,SONSON,2903,37850,"7,67"
2021,1,25,CUNDINAMARCA,25779,SUSA,398,7032,"5,66"
2023,2,15,BOYACÁ,15244,EL COCUY,105,4377,"2,40"
2022,2,54,NORTE DE SANTANDER,54001,SAN JOSÉ DE CÚCUTA,134780,798411,"16,88"
2023,2,18,CAQUETA,18029,ALBANIA,17,4775,"0,36"
2022,4,76,VALLE DEL CAUCA,76828,TRUJILLO,671,19657,"3,41"
2023,2,73,TOLIMA,73624,ROVIRA,545,22360,"2,44"
2023,2,73,TOLIMA,73319,GUAMO,3783,34681,"10,91"
2022,1,25,CUNDINAMARCA,25885,YACOPÍ,60,13536,"0,44"
2021,4,41,HUILA,41306,GIGANTE,1081,25658,"4,21"
2021,2,23,CÓRDOBA,23675,SAN BERNARDO DEL VIENTO,422,38929,"1,08"
2021,3,73,TOLIMA,73067,ATACO,215,19796,"1,09"
2023,3,13,BOLÍVAR,13473,MORALES,451,24596,"1,83"
2021,2,08,ATLÁNTICO,08549,PIOJÓ,21,7118,"0,30"
2021,2,25,CUNDINAMARCA,25530,PARATEBUENO,72,9245,"0,78"
2021,2,50,META,50573,PUERTO LÓPEZ,2284,32091,"7,12"
2023,2,76,VALLE DEL CAUCA,76563,PRADERA,6211,49297,"12,60"
2022,3,66,RISARALDA,66383,LA CELIA,462,7634,"6,05"
2022,3,50,META,50577,PUERTO LLERAS,24,11125,"0,22"
2022,3,25,CUNDINAMARCA,25320,GUADUAS,2359,34726,"6,79"
2022,3,15,BOYACÁ,15469,MONIQUIRÁ,1616,23841,"6,78"
2023,3,25,CUNDINAMARCA,25339,GUTIÉRREZ,15,3932,"0,38"
2021,3,54,NORTE DE SANTANDER,54480,MUTISCUA,64,4659,"1,37"
2021,4,73,TOLIMA,73547,PIEDRAS,158,6960,"2,27"
2022,3,85,CASANARE,85300,SABANALARGA,35,3937,"0,89"
2022,4,05,ANTIOQUIA,05809,TITIRIBÍ,1862,11183,"16,65"
2023,3,73,TOLIMA,73624,ROVIRA,617,22360,"2,76"
2021,1,15,BOYACÁ,15762,SORA,55,3145,"1,75"
2023,3,18,CAQUETA,18094,BELÉN DE LOS ANDAQUÍES,346,11467,"3,02"
2023,2,47,MAGDALENA,47605,REMOLINO,206,12766,"1,61"
2022,3,47,MAGDALENA,47570,PUEBLOVIEJO,452,33351,"1,36"
2022,1,15,BOYACÁ,15839,TUTAZÁ,28,2131,"1,31"
2021,2,15,BOYACÁ,15180,CHISCAS,67,4063,"1,65"
2023,3,50,META,50573,PUERTO LÓPEZ,2485,33079,"7,51"
2021,4,25,CUNDINAMARCA,25269,FACATATIVÁ,23781,156180,"15,23"
2023,3,05,ANTIOQUIA,05212,COPACABANA,22971,83559,"27,49"
2023,1,23,CÓRDOBA,23079,BUENAVISTA,951,22596,"4,21"
2021,2,17,CALDAS,17442,MARMATO,768,9143,"8,40"
2022,2,25,CUNDINAMARCA,25086,BELTRÁN,66,2010,"3,28"
2022,3,25,CUNDINAMARCA,25224,CUCUNUBÁ,635,8612,"7,37"
2021,4,17,CALDAS,17433,MANZANARES,585,18461,"3,17"
2021,1,18,CAQUETA,18247,EL DONCELLO,1362,19851,"6,86"
2023,1,50,META,50711,VISTAHERMOSA,593,19112,"3,10"
2021,4,05,ANTIOQUIA,05134,CAMPAMENTO,436,9494,"4,59"
2023,1,05,ANTIOQUIA,05736,SEGOVIA,8717,40602,"21,47"
2023,1,68,SANTANDER,68320,GUADALUPE,274,4719,"5,81"
2022,1,08,ATLÁNTICO,08296,GALAPA,8443,67306,"12,54"
2021,2,76,VALLE DEL CAUCA,76520,PALMIRA,76693,357178,"21,47"
2023,3,47,MAGDALENA,47980,ZONA BANANERA,495,76962,"0,64"
2021,2,47,MAGDALENA,47555,PLATO,4507,67418,"6,69"
2021,1,15,BOYACÁ,15180,CHISCAS,30,4063,"0,74"
2022,4,25,CUNDINAMARCA,25320,GUADUAS,1379,34726,"3,97"
2023,3,70,SUCRE,70230,CHALÁN,2,4786,"0,04"
2022,3,15,BOYACÁ,15092,BETÉITIVA,27,2029,"1,33"
2021,4,50,META,50006,ACACÍAS,18952,92906,"20,40"
2022,1,68,SANTANDER,68500,OIBA,722,10968,"6,58"
2023,3,23,CÓRDOBA,23555,PLANETA RICA,4920,68231,"7,21"
2021,2,20,CESAR,20770,SAN MARTÍN,1039,29439,"3,53"
2022,4,68,SANTANDER,68500,OIBA,729,10968,"6,65"
2023,1,76,VALLE DEL CAUCA,76036,ANDALUCÍA,1762,22990,"7,66"
2021,4,47,MAGDALENA,47001,SANTA MARTA,103942,540204,"19,24"
2022,2,68,SANTANDER,68684,SAN JOSÉ DE MIRANDA,163,4389,"3,71"
2022,4,44,LA GUAJIRA,44098,DISTRACCIÓN,173,15013,"1,15"
2023,2,70,SUCRE,70823,SAN JOSÉ DE TOLUVIEJO,615,23099,"2,66"
2022,1,41,HUILA,41791,TARQUI,625,18555,"3,37"
2023,1,27,CHOCÓ,27025,ALTO BAUDÓ,38,30748,"0,12"
2023,2,05,ANTIOQUIA,05030,AMAGÁ,3437,32142,"10,69"
2021,1,13,BOLÍVAR,13440,MARGARITA,70,11435,"0,61"
2022,3,17,CALDAS,17495,NORCASIA,326,6100,"5,34"
2022,1,54,NORTE DE SANTANDER,54099,BOCHALEMA,239,9188,"2,60"
2022,1,66,RISARALDA,66440,MARSELLA,692,17166,"4,03"
2022,2,25,CUNDINAMARCA,25871,VILLAGÓMEZ,27,1950,"1,38"
2021,2,05,ANTIOQUIA,05411,LIBORINA,445,10361,"4,29"
2021,1,68,SANTANDER,68895,ZAPATOCA,37,9746,"0,38"
2022,1,54,NORTE DE SANTANDER,54239,DURANIA,33,5082,"0,65"
2023,1,05,ANTIOQUIA,05079,BARBOSA,8660,55649,"15,56"
2022,4,23,CÓRDOBA,23586,PURÍSIMA,454,18242,"2,49"
