AÑO,TRIMESTRE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2023,2,25,CUNDINAMARCA,25095,BITUIMA,11,2816,"0,39"
2022,3,13,BOLÍVAR,13140,CALAMAR,1202,24331,"4,94"
2021,2,50,META,50606,RESTREPO,2599,19316,"13,46"
2021,3,15,BOYACÁ,15776,SUTAMARCHÁN,148,6379,"2,32"
2021,1,27,CHOCÓ,27425,MEDIO ATRATO,16,12252,"0,13"
2023,1,41,HUILA,41013,AGRADO,76,9408,"0,81"
2021,2,54,NORTE DE SANTANDER,54498,OCAÑA,12865,131038,"9,82"
2022,3,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,1776,18207,"9,75"
2023,2,73,TOLIMA,73483,NATAGAIMA,741,14852,"4,99"
2022,4,05,ANTIOQUIA,05585,PUERTO NARE,1315,14993,"8,77"
2021,4,05,ANTIOQUIA,05120,CÁCERES,1805,30370,"5,94"
2021,1,05,ANTIOQUIA,05353,HISPANIA,628,5693,"11,03"
2021,2,08,ATLÁNTICO,08078,BARANOA,5576,67587,"8,25"
2021,3,25,CUNDINAMARCA,25580,PULÍ,29,3600,"0,81"
2022,3,25,CUNDINAMARCA,25772,SUESCA,1789,19452,"9,20"
2022,3,19,CAUCA,19100,BOLÍVAR,154,38868,"0,40"
2023,3,13,BOLÍVAR,13160,CANTAGALLO,76,9019,"0,84"
2023,2,68,SANTANDER,68669,SAN ANDRÉS,475,9083,"5,23"
2022,4,20,CESAR,20011,AGUACHICA,10891,124064,"8,78"
2021,2,70,SUCRE,70473,MORROA,736,15930,"4,62"
2022,4,20,CESAR,20238,EL COPEY,557,33782,"1,65"
2023,3,70,SUCRE,70235,GALERAS,620,24257,"2,56"
2023,2,15,BOYACÁ,15087,BELÉN,721,7914,"9,11"
2021,1,25,CUNDINAMARCA,25035,ANAPOIMA,1701,16085,"10,58"
2022,2,15,BOYACÁ,15332,GÜICÁN,11,4441,"0,25"
2021,2,41,HUILA,41503,OPORAPA,357,12238,"2,92"
2021,2,25,CUNDINAMARCA,25807,TIBIRITA,16,3412,"0,47"
2022,2,52,NARIÑO,52835,TUMACO - SAN ANDRES DE TUMACO,8478,263990,"3,21"
2023,3,18,CAQUETA,18753,SAN VICENTE DEL CAGUÁN,4385,54150,"8,10"
2023,3,63,QUINDÍO,63111,BUENAVISTA,25,3220,"0,78"
2023,3,73,TOLIMA,73671,SALDAÑA,171,14882,"1,15"
2021,3,27,CHOCÓ,27450,MEDIO SAN JUAN,233,11168,"2,09"
2023,3,05,ANTIOQUIA,05854,VALDIVIA,191,14596,"1,31"
2021,1,66,RISARALDA,66045,APÍA,221,12559,"1,76"
2022,3,15,BOYACÁ,15022,ALMEIDA,7,1997,"0,35"
2023,3,05,ANTIOQUIA,05483,NARIÑO,473,10723,"4,41"
2021,3,73,TOLIMA,73217,COYAIMA,435,23280,"1,87"
2022,1,54,NORTE DE SANTANDER,54599,RAGONVALIA,172,6613,"2,60"
2021,3,68,SANTANDER,68444,MATANZA,176,5196,"3,39"
2022,1,70,SUCRE,70670,SAMPUÉS,3132,51813,"6,04"
2022,2,15,BOYACÁ,15879,VIRACACHÁ,47,2946,"1,60"
2021,4,25,CUNDINAMARCA,25402,LA VEGA,1614,18767,"8,60"
2021,2,17,CALDAS,17614,RIOSUCIO,4218,53116,"7,94"
2022,1,41,HUILA,41013,AGRADO,169,9282,"1,82"
2023,1,54,NORTE DE SANTANDER,54313,GRAMALOTE,371,8291,"4,47"
2021,3,15,BOYACÁ,15476,MOTAVITA,63,5826,"1,08"
2022,3,52,NARIÑO,52110,BUESACO,955,24726,"3,86"
2021,1,76,VALLE DEL CAUCA,76243,EL ÁGUILA,61,9077,"0,67"
2022,4,70,SUCRE,70717,SAN PEDRO,1036,19810,"5,23"
2021,2,52,NARIÑO,52520,FRANCISCO PIZARRO,19,14675,"0,13"
2022,2,44,LA GUAJIRA,44847,URIBIA,1465,188827,"0,78"
2022,1,15,BOYACÁ,15367,JENESANO,249,7601,"3,28"
2021,3,27,CHOCÓ,27413,LLORÓ,12,10081,"0,12"
2021,1,05,ANTIOQUIA,05873,VIGÍA DEL FUERTE,158,9502,"1,66"
2023,1,41,HUILA,41791,TARQUI,656,18783,"3,49"
2021,2,41,HUILA,41357,IQUIRA,502,9687,"5,18"
2022,1,25,CUNDINAMARCA,25851,ÚTICA,147,4754,"3,09"
2021,4,25,CUNDINAMARCA,25286,FUNZA,24102,104696,"23,02"
2023,3,47,MAGDALENA,47001,SANTA MARTA,108042,555030,"19,47"
2022,2,25,CUNDINAMARCA,25368,JERUSALÉN,46,2515,"1,83"
2021,1,19,CAUCA,19318,GUAPI,304,28594,"1,06"
2022,4,15,BOYACÁ,15087,BELÉN,691,7841,"8,81"
2021,3,70,SUCRE,70473,MORROA,710,15930,"4,46"
2022,1,18,CAQUETA,18256,EL PAUJIL,1716,18998,"9,03"
2022,4,23,CÓRDOBA,23574,PUERTO ESCONDIDO,161,25255,"0,64"
2023,1,25,CUNDINAMARCA,25214,COTA,10861,39070,"27,80"
2023,2,54,NORTE DE SANTANDER,54398,LA PLAYA,41,8675,"0,47"
2021,1,13,BOLÍVAR,13654,SAN JACINTO,804,25185,"3,19"
2023,1,76,VALLE DEL CAUCA,76892,YUMBO,22426,108774,"20,62"
2021,2,05,ANTIOQUIA,05660,SAN LUIS,2171,13434,"16,16"
2023,3,25,CUNDINAMARCA,25486,NEMOCÓN,2310,15588,"14,82"
2023,1,05,ANTIOQUIA,05756,SONSON,4976,38203,"13,03"
2023,1,18,CAQUETA,18094,BELÉN DE LOS ANDAQUÍES,167,11467,"1,46"
2022,1,85,CASANARE,85430,TRINIDAD,587,14645,"4,01"
2021,2,15,BOYACÁ,15774,SUSACÓN,13,2770,"0,47"
2022,4,05,ANTIOQUIA,05364,JARDÍN,1985,15257,"13,01"
2023,3,70,SUCRE,70473,MORROA,230,16360,"1,41"
2022,3,73,TOLIMA,73319,GUAMO,3801,34495,"11,02"
2021,3,05,ANTIOQUIA,05736,SEGOVIA,10728,39856,"26,92"
2022,3,17,CALDAS,17388,LA MERCED,156,6209,"2,51"
2022,2,17,CALDAS,17777,SUPÍA,2592,29657,"8,74"
2021,4,19,CAUCA,19809,TIMBIQUÍ,115,27234,"0,42"
2022,4,25,CUNDINAMARCA,25290,FUSAGASUGÁ,37442,159734,"23,44"
2021,4,19,CAUCA,19290,FLORENCIA,1020,5340,"19,10"
2023,3,19,CAUCA,19809,TIMBIQUÍ,175,27822,"0,63"
2021,4,27,CHOCÓ,27077,BAJO BAUDÓ,229,32059,"0,71"
2023,2,23,CÓRDOBA,23672,SAN ANTERO,2984,36284,"8,22"
2022,1,19,CAUCA,19532,PATÍA,511,38548,"1,33"
2021,3,15,BOYACÁ,15507,OTANCHE,318,8334,"3,82"
2023,2,52,NARIÑO,52399,LA UNIÓN,467,33262,"1,40"
2023,3,68,SANTANDER,68498,OCAMONTE,80,6164,"1,30"
2022,2,73,TOLIMA,73563,PRADO,35,8709,"0,40"
2023,3,68,SANTANDER,68079,BARICHARA,1907,11092,"17,19"
2021,3,66,RISARALDA,66088,BELÉN DE UMBRÍA,2132,25171,"8,47"
2022,3,81,ARAUCA,81065,ARAUQUITA,1904,61285,"3,11"
2023,2,25,CUNDINAMARCA,25290,FUSAGASUGÁ,37869,165143,"22,93"
2022,4,19,CAUCA,19075,BALBOA,26,22153,"0,12"
2023,2,05,ANTIOQUIA,05658,SAN JOSÉ DE LA MONTAÑA,338,3867,"8,74"
2023,2,15,BOYACÁ,15047,AQUITANIA,878,16319,"5,38"
2021,3,68,SANTANDER,68307,GIRÓN,35566,171211,"20,77"
2021,1,25,CUNDINAMARCA,25572,PUERTO SALGAR,522,17025,"3,07"
2022,3,54,NORTE DE SANTANDER,54003,ABREGO,899,35419,"2,54"
2022,1,41,HUILA,41378,LA ARGENTINA,949,13714,"6,92"
2023,2,15,BOYACÁ,15322,GUATEQUE,143,11400,"1,25"
2022,3,68,SANTANDER,68229,CURITÍ,1545,13118,"11,78"
2021,1,13,BOLÍVAR,13458,MONTECRISTO,28,17854,"0,16"
2021,2,63,QUINDÍO,63190,CIRCASIA,5333,29179,"18,28"
2023,2,19,CAUCA,19392,LA SIERRA,114,11286,"1,01"
2021,1,52,NARIÑO,52788,TANGUA,192,13886,"1,38"
2021,3,52,NARIÑO,52258,EL TABLÓN DE GÓMEZ,133,14805,"0,90"
2023,3,19,CAUCA,19780,SUÁREZ,25,33762,"0,07"
2023,1,25,CUNDINAMARCA,25743,SILVANIA,1787,25347,"7,05"
2022,4,44,LA GUAJIRA,44855,URUMITA,598,12320,"4,85"
2023,1,05,ANTIOQUIA,05665,SAN PEDRO DE URABA,3984,32895,"12,11"
2022,3,68,SANTANDER,68001,BUCARAMANGA,169423,610125,"27,77"
2022,4,68,SANTANDER,68190,CIMITARRA,1856,35122,"5,28"
2021,3,05,ANTIOQUIA,05154,CAUCASIA,16339,95274,"17,15"
2022,2,05,ANTIOQUIA,05086,BELMIRA,627,6294,"9,96"
2021,4,47,MAGDALENA,47245,EL BANCO,1757,71156,"2,47"
2021,4,85,CASANARE,85010,AGUAZUL,3806,39153,"9,72"
2023,1,15,BOYACÁ,15537,PAZ DE RÍO,630,4472,"14,09"
2021,1,25,CUNDINAMARCA,25245,EL COLEGIO,785,26416,"2,97"
2022,3,41,HUILA,41319,GUADALUPE,1163,19032,"6,11"
2022,4,13,BOLÍVAR,13580,REGIDOR,70,7421,"0,94"
2022,4,73,TOLIMA,73671,SALDAÑA,191,14808,"1,29"
2022,2,15,BOYACÁ,15600,RÁQUIRA,122,8341,"1,46"
2022,4,41,HUILA,41001,NEIVA,95515,375660,"25,43"
2023,3,05,ANTIOQUIA,05045,APARTADÓ,20816,130362,"15,97"
2021,2,52,NARIÑO,52356,IPIALES,7922,119416,"6,63"
2021,3,25,CUNDINAMARCA,25386,LA MESA,3545,36321,"9,76"
2022,4,52,NARIÑO,52260,EL TAMBO,1306,14716,"8,87"
2022,1,73,TOLIMA,73001,IBAGUÉ,138825,539745,"25,72"
2023,2,25,CUNDINAMARCA,25214,COTA,10610,39070,"27,16"
2022,3,52,NARIÑO,52694,SAN PEDRO DE CARTAGO,9,7069,"0,13"
2021,4,05,ANTIOQUIA,05266,ENVIGADO,81713,241984,"33,77"
2023,1,19,CAUCA,19290,FLORENCIA,640,5442,"11,76"
2023,2,15,BOYACÁ,15580,QUÍPAMA,13,5209,"0,25"
2022,4,68,SANTANDER,68895,ZAPATOCA,758,9845,"7,70"
2021,1,13,BOLÍVAR,13600,RÍO VIEJO,300,11192,"2,68"
2021,2,23,CÓRDOBA,23464,MOMIL,497,20531,"2,42"
2022,1,15,BOYACÁ,15759,SOGAMOSO,31469,134977,"23,31"
2021,3,08,ATLÁNTICO,08436,MANATÍ,839,21237,"3,95"
2023,1,70,SUCRE,70001,SINCELEJO,44265,310456,"14,26"
2021,3,17,CALDAS,17653,SALAMINA,1396,19737,"7,07"
2022,4,68,SANTANDER,68235,EL CARMEN DE CHUCURÍ,177,22199,"0,80"
2023,1,68,SANTANDER,68502,ONZAGA,11,4264,"0,26"
2023,2,47,MAGDALENA,47268,EL RETÉN,592,21634,"2,74"
2023,3,68,SANTANDER,68872,VILLANUEVA,836,8740,"9,57"
2021,1,15,BOYACÁ,15842,UMBITA,109,7784,"1,40"
2023,1,52,NARIÑO,52260,EL TAMBO,1279,14811,"8,64"
2023,1,68,SANTANDER,68820,TONA,110,7602,"1,45"
2022,1,17,CALDAS,17777,SUPÍA,2817,29657,"9,50"
2022,1,15,BOYACÁ,15176,CHIQUINQUIRÁ,5917,59518,"9,94"
2023,1,73,TOLIMA,73001,IBAGUÉ,158190,542046,"29,18"
2021,2,95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,1878,57717,"3,25"
2021,4,70,SUCRE,70400,LA UNIÓN,359,13839,"2,59"
2022,3,15,BOYACÁ,15114,BUSBANZÁ,45,1184,"3,80"
2023,2,05,ANTIOQUIA,05150,CAROLINA,414,4174,"9,92"
2021,3,23,CÓRDOBA,23189,CIÉNAGA DE ORO,1968,61898,"3,18"
2021,2,54,NORTE DE SANTANDER,54239,DURANIA,195,5000,"3,90"
2022,2,68,SANTANDER,68152,CARCASÍ,9,4395,"0,20"
2022,3,05,ANTIOQUIA,05893,YONDÓ,1542,20406,"7,56"
2021,2,41,HUILA,41551,PITALITO,12037,131018,"9,19"
2021,3,76,VALLE DEL CAUCA,76306,GINEBRA,2392,24717,"9,68"
2021,3,15,BOYACÁ,15798,TENZA,94,3948,"2,38"
2023,3,76,VALLE DEL CAUCA,76318,GUACARÍ,4603,35378,"13,01"
2023,3,25,CUNDINAMARCA,25899,ZIPAQUIRÁ,37048,155618,"23,81"
2021,3,25,CUNDINAMARCA,25867,VIANÍ,37,4738,"0,78"
2023,2,54,NORTE DE SANTANDER,54418,LOURDES,157,4499,"3,49"
2023,3,68,SANTANDER,68820,TONA,96,7602,"1,26"
2023,2,25,CUNDINAMARCA,25491,NOCAIMA,104,7074,"1,47"
2023,3,54,NORTE DE SANTANDER,54480,MUTISCUA,66,4805,"1,37"
2023,1,19,CAUCA,19845,VILLA RICA,171,21935,"0,78"
2022,3,05,ANTIOQUIA,05306,GIRALDO,188,5857,"3,21"
2023,3,68,SANTANDER,68755,SOCORRO,4529,35604,"12,72"
2021,3,05,ANTIOQUIA,05543,PEQUE,388,8431,"4,60"
2023,2,54,NORTE DE SANTANDER,54871,VILLA CARO,73,5700,"1,28"
2021,2,86,PUTUMAYO,86571,PUERTO GUZMÁN,117,36900,"0,32"
2023,1,85,CASANARE,85325,SAN LUIS DE PALENQUE,198,8877,"2,23"
2023,1,05,ANTIOQUIA,05893,YONDÓ,1453,20572,"7,06"
2022,4,70,SUCRE,70713,SAN ONOFRE,243,55425,"0,44"
2022,1,54,NORTE DE SANTANDER,54261,EL ZULIA,1031,30258,"3,41"
2023,2,05,ANTIOQUIA,05142,CARACOLÍ,382,4781,"7,99"
2023,3,05,ANTIOQUIA,05400,LA UNIÓN,1145,22870,"5,01"
2022,1,08,ATLÁNTICO,08001,BARRANQUILLA,290636,1310163,"22,18"
2021,2,05,ANTIOQUIA,05656,SAN JERÓNIMO,4892,16081,"30,42"
2022,1,19,CAUCA,19533,PIAMONTE,30,9595,"0,31"
2021,1,15,BOYACÁ,15407,VILLA DE LEYVA,2515,17106,"14,70"
2022,3,47,MAGDALENA,47268,EL RETÉN,561,21406,"2,62"
2021,4,68,SANTANDER,68001,BUCARAMANGA,164267,604462,"27,18"
2022,1,13,BOLÍVAR,13780,TALAIGUA NUEVO,462,13746,"3,36"
2022,3,25,CUNDINAMARCA,25483,NARIÑO,20,2644,"0,76"
2023,3,76,VALLE DEL CAUCA,76122,CAICEDONIA,2898,29542,"9,81"
2023,1,25,CUNDINAMARCA,25871,VILLAGÓMEZ,107,2018,"5,30"
2022,2,76,VALLE DEL CAUCA,76147,CARTAGO,26845,142456,"18,84"
2022,3,68,SANTANDER,68322,GUAPOTÁ,479,2464,"19,44"
2023,1,13,BOLÍVAR,13442,MARÍA LA BAJA,3092,50463,"6,13"
2022,2,76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,27939,132931,"21,02"
2023,2,15,BOYACÁ,15131,CALDAS,9,3296,"0,27"
2022,1,23,CÓRDOBA,23068,AYAPEL,4743,48476,"9,78"
2021,3,41,HUILA,41797,TESALIA,1030,11194,"9,20"
2022,2,20,CESAR,20383,LA GLORIA,1108,19283,"5,75"
2022,1,25,CUNDINAMARCA,25279,FOMEQUE,100,13495,"0,74"
2022,3,05,ANTIOQUIA,05313,GRANADA,3423,10587,"32,33"
2023,3,52,NARIÑO,52233,CUMBITARA,242,6152,"3,93"
2021,3,15,BOYACÁ,15293,GACHANTIVÁ,131,2857,"4,59"
2021,1,76,VALLE DEL CAUCA,76622,ROLDANILLO,6043,37509,"16,11"
2021,2,91,AMAZONAS,91407,LA PEDRERA,2,4061,"0,05"
2021,2,76,VALLE DEL CAUCA,76130,CANDELARIA,11830,93491,"12,65"
2021,1,13,BOLÍVAR,13838,TURBANÁ,601,17455,"3,44"
2022,3,15,BOYACÁ,15332,GÜICÁN,11,4441,"0,25"
2021,3,41,HUILA,41615,RIVERA,713,25563,"2,79"
2022,3,18,CAQUETA,18094,BELÉN DE LOS ANDAQUÍES,39,11380,"0,34"
2023,2,05,ANTIOQUIA,05266,ENVIGADO,86168,246327,"34,98"
2022,3,68,SANTANDER,68533,PÁRAMO,87,4851,"1,79"
2022,4,66,RISARALDA,66687,SANTUARIO,1471,12812,"11,48"
2022,2,05,ANTIOQUIA,05038,ANGOSTURA,541,11909,"4,54"
2023,2,05,ANTIOQUIA,05361,ITUANGO,1007,28634,"3,52"
2021,4,19,CAUCA,19513,PADILLA,13,10275,"0,13"
2021,3,05,ANTIOQUIA,05885,YALÍ,332,7893,"4,21"
2021,4,18,CAQUETA,18756,SOLANO,108,11828,"0,91"
2022,1,54,NORTE DE SANTANDER,54313,GRAMALOTE,140,8180,"1,71"
2022,3,52,NARIÑO,52411,LINARES,211,10453,"2,02"
2021,3,15,BOYACÁ,15001,TUNJA,49144,181729,"27,04"
2021,4,68,SANTANDER,68418,LOS SANTOS,231,15062,"1,53"
2023,3,25,CUNDINAMARCA,25426,MACHETA,47,6963,"0,67"
2022,3,66,RISARALDA,66088,BELÉN DE UMBRÍA,2246,25216,"8,91"
2023,1,13,BOLÍVAR,13468,SANTA CRUZ DE MOMPOX,3463,48385,"7,16"
2022,4,27,CHOCÓ,27615,RIOSUCIO,596,60962,"0,98"
2023,3,15,BOYACÁ,15764,SORACÁ,181,6352,"2,85"
2022,2,25,CUNDINAMARCA,25799,TENJO,4321,25180,"17,16"
2023,2,47,MAGDALENA,47053,ARACATACA,1378,44857,"3,07"
2022,3,13,BOLÍVAR,13836,TURBACO,17134,113746,"15,06"
2022,3,23,CÓRDOBA,23807,TIERRALTA,7981,97997,"8,14"
2022,3,15,BOYACÁ,15839,TUTAZÁ,37,2131,"1,74"
2023,1,68,SANTANDER,68533,PÁRAMO,74,4901,"1,51"
2022,2,20,CESAR,20178,CHIRIGUANÁ,723,31188,"2,32"
2022,2,73,TOLIMA,73319,GUAMO,3631,34495,"10,53"
2022,2,50,META,50270,EL DORADO,10,4199,"0,24"
2023,1,20,CESAR,20032,ASTREA,89,22921,"0,39"
2023,2,08,ATLÁNTICO,08685,SANTO TOMÁS,4666,33058,"14,11"
2021,3,13,BOLÍVAR,13473,MORALES,840,24027,"3,50"
2023,1,18,CAQUETA,18247,EL DONCELLO,510,20195,"2,53"
2023,2,15,BOYACÁ,15632,SABOYÁ,28,14471,"0,19"
2021,1,25,CUNDINAMARCA,25335,GUAYABETAL,199,6855,"2,90"
2021,2,68,SANTANDER,68190,CIMITARRA,1085,34795,"3,12"
2021,3,52,NARIÑO,52694,SAN PEDRO DE CARTAGO,14,7024,"0,20"
2023,3,15,BOYACÁ,15879,VIRACACHÁ,89,2985,"2,98"
2023,1,25,CUNDINAMARCA,25269,FACATATIVÁ,34153,166588,"20,50"
2022,3,68,SANTANDER,68162,CERRITO,262,7001,"3,74"
2022,2,05,ANTIOQUIA,05686,SANTA ROSA DE OSOS,3964,38420,"10,32"
2022,2,73,TOLIMA,73043,ANZOÁTEGUI,24,10487,"0,23"
2023,2,52,NARIÑO,52835,TUMACO - SAN ANDRES DE TUMACO,7698,265599,"2,90"
2023,2,91,AMAZONAS,91540,PUERTO NARIÑO,10,10772,"0,09"
2023,3,25,CUNDINAMARCA,25295,GACHANCIPÁ,3670,20142,"18,22"
2022,2,15,BOYACÁ,15667,SAN LUIS DE GACENO,58,5742,"1,01"
2023,3,05,ANTIOQUIA,05206,CONCEPCIÓN,206,5020,"4,10"
2021,3,27,CHOCÓ,27025,ALTO BAUDÓ,27,29662,"0,09"
2021,3,94,GUAINÍA,94887,PANA PANA,1,2152,"0,05"
2023,1,76,VALLE DEL CAUCA,76130,CANDELARIA,15991,93932,"17,02"
2021,1,25,CUNDINAMARCA,25288,FÚQUENE,59,5303,"1,11"
2022,3,52,NARIÑO,52490,OLAYA HERRERA,74,26110,"0,28"
2022,1,05,ANTIOQUIA,05664,SAN PEDRO DE LOS MILAGROS,3709,23193,"15,99"
2023,2,08,ATLÁNTICO,08560,PONEDERA,481,26463,"1,82"
2021,1,73,TOLIMA,73026,ALVARADO,36,9153,"0,39"
2022,4,20,CESAR,20770,SAN MARTÍN,1851,30031,"6,16"
2021,1,17,CALDAS,17541,PENSILVANIA,1400,20006,"7,00"
2022,2,08,ATLÁNTICO,08770,SUAN,373,12959,"2,88"
2022,1,85,CASANARE,85325,SAN LUIS DE PALENQUE,345,8743,"3,95"
2023,2,76,VALLE DEL CAUCA,76823,TORO,1583,14974,"10,57"
2022,2,25,CUNDINAMARCA,25530,PARATEBUENO,61,9520,"0,64"
2022,4,97,VAUPÉS,97777,PAPUNAHUA,4,779,"0,51"
2021,1,27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,94,24088,"0,39"
2022,4,76,VALLE DEL CAUCA,76248,EL CERRITO,9258,57713,"16,04"
2021,1,05,ANTIOQUIA,05147,CAREPA,5500,50885,"10,81"
2021,2,25,CUNDINAMARCA,25168,CHAGUANÍ,34,4512,"0,75"
2022,2,76,VALLE DEL CAUCA,76403,LA VICTORIA,1676,12445,"13,47"
2021,4,41,HUILA,41668,SAN AGUSTÍN,2080,34700,"5,99"
2021,3,54,NORTE DE SANTANDER,54125,CÁCOTA,54,3063,"1,76"
2022,1,52,NARIÑO,52317,GUACHUCAL,315,20207,"1,56"
2022,3,05,ANTIOQUIA,05206,CONCEPCIÓN,486,4965,"9,79"
2021,4,15,BOYACÁ,15861,VENTAQUEMADA,132,16498,"0,80"
2023,2,47,MAGDALENA,47030,ALGARROBO,902,17549,"5,14"
2023,2,15,BOYACÁ,15368,JERICÓ,40,4133,"0,97"
2022,4,05,ANTIOQUIA,05264,ENTRERRIOS,1406,11873,"11,84"
2022,3,13,BOLÍVAR,13780,TALAIGUA NUEVO,453,13746,"3,30"
2022,4,05,ANTIOQUIA,05129,CALDAS,21597,84631,"25,52"
2021,2,66,RISARALDA,66045,APÍA,229,12559,"1,82"
2023,3,70,SUCRE,70742,SAN LUIS DE SINCÉ,1427,33046,"4,32"
2021,4,41,HUILA,41206,COLOMBIA,37,7501,"0,49"
2023,1,73,TOLIMA,73483,NATAGAIMA,586,14852,"3,95"
2021,3,19,CAUCA,19760,SOTARÁ PAISPAMBA,60,14554,"0,41"
2022,2,15,BOYACÁ,15180,CHISCAS,73,4114,"1,77"
2023,2,15,BOYACÁ,15776,SUTAMARCHÁN,634,6532,"9,71"
2021,4,85,CASANARE,85279,RECETOR,14,1542,"0,91"
2021,4,05,ANTIOQUIA,05088,BELLO,132308,552073,"23,97"
2023,2,25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,542,13831,"3,92"
2021,1,66,RISARALDA,66687,SANTUARIO,923,12785,"7,22"
2023,1,76,VALLE DEL CAUCA,76606,RESTREPO,713,16487,"4,32"
2021,3,15,BOYACÁ,15248,EL ESPINO,17,3141,"0,54"
2021,2,15,BOYACÁ,15516,PAIPA,6206,35324,"17,57"
2021,4,05,ANTIOQUIA,05190,CISNEROS,2216,10147,"21,84"
2021,2,25,CUNDINAMARCA,25053,ARBELÁEZ,559,11464,"4,88"
2021,1,63,QUINDÍO,63001,ARMENIA,88254,304700,"28,96"
2022,1,70,SUCRE,70820,SANTIAGO DE TOLÚ,1346,34135,"3,94"
2022,2,44,LA GUAJIRA,44560,MANAURE,487,95275,"0,51"
2021,2,05,ANTIOQUIA,05893,YONDÓ,1574,20228,"7,78"
2021,3,05,ANTIOQUIA,05250,EL BAGRE,6073,54863,"11,07"
2021,2,13,BOLÍVAR,13140,CALAMAR,548,24034,"2,28"
2022,2,15,BOYACÁ,15097,BOAVITA,163,5305,"3,07"
2021,3,15,BOYACÁ,15494,NUEVO COLÓN,104,5307,"1,96"
2022,2,05,ANTIOQUIA,05649,SAN CARLOS,1956,16687,"11,72"
2022,3,15,BOYACÁ,15317,GUACAMAYAS,5,1925,"0,26"
2021,3,52,NARIÑO,52405,LEIVA,34,10006,"0,34"
2022,4,05,ANTIOQUIA,05604,REMEDIOS,3652,30001,"12,17"
2022,4,25,CUNDINAMARCA,25178,CHIPAQUE,581,10658,"5,45"
2022,4,08,ATLÁNTICO,08770,SUAN,325,12959,"2,51"
2021,3,13,BOLÍVAR,13744,SIMITÍ,461,19504,"2,36"
2023,3,27,CHOCÓ,27006,ACANDÍ,368,15604,"2,36"
2021,3,19,CAUCA,19364,JAMBALÓ,68,18735,"0,36"
2021,2,63,QUINDÍO,63690,SALENTO,781,9626,"8,11"
2022,1,05,ANTIOQUIA,05647,SAN ANDRÉS DE CUERQUÍA,687,7531,"9,12"
2023,3,25,CUNDINAMARCA,25126,CAJICÁ,36327,98441,"36,90"
2021,1,50,META,50370,URIBE,356,9691,"3,67"
2022,3,52,NARIÑO,52260,EL TAMBO,1295,14716,"8,80"
2021,4,15,BOYACÁ,15442,MARIPÍ,15,5894,"0,25"
2021,2,05,ANTIOQUIA,05038,ANGOSTURA,518,11783,"4,40"
2022,4,47,MAGDALENA,47030,ALGARROBO,804,17325,"4,64"
2023,3,17,CALDAS,17486,NEIRA,1446,21543,"6,71"
2023,1,13,BOLÍVAR,13248,EL GUAMO,52,9404,"0,55"
2022,2,68,SANTANDER,68298,GAMBITA,23,4160,"0,55"
2021,1,15,BOYACÁ,15518,PAJARITO,79,2462,"3,21"
2022,1,05,ANTIOQUIA,05790,TARAZÁ,3212,28611,"11,23"
2022,4,23,CÓRDOBA,23660,SAHAGÚN,4361,114033,"3,82"
2022,1,05,ANTIOQUIA,05209,CONCORDIA,1001,22352,"4,48"
2021,1,86,PUTUMAYO,86885,VILLAGARZÓN,329,25798,"1,28"
2022,4,15,BOYACÁ,15514,PÁEZ,21,3405,"0,62"
2023,1,25,CUNDINAMARCA,25295,GACHANCIPÁ,3142,20142,"15,60"
2022,1,73,TOLIMA,73055,ARMERO,1375,13394,"10,27"
2021,1,86,PUTUMAYO,86760,SANTIAGO,232,7502,"3,09"
2023,3,52,NARIÑO,52473,MOSQUERA,50,12547,"0,40"
2021,1,52,NARIÑO,52560,POTOSÍ,38,10578,"0,36"
2023,3,52,NARIÑO,52435,MALLAMA,417,9396,"4,44"
2022,3,41,HUILA,41483,NÁTAGA,384,6867,"5,59"
2022,3,20,CESAR,20517,PAILITAS,686,20880,"3,29"
2023,3,13,BOLÍVAR,13760,SOPLAVIENTO,264,11585,"2,28"
2022,3,27,CHOCÓ,27150,CARMEN DEL DARIÉN,170,21458,"0,79"
2022,3,76,VALLE DEL CAUCA,76823,TORO,1637,14928,"10,97"
2022,4,68,SANTANDER,68176,CHIMA,53,2957,"1,79"
2023,1,19,CAUCA,19450,MERCADERES,229,24716,"0,93"
2023,3,50,META,50251,EL CASTILLO,13,8539,"0,15"
2021,2,27,CHOCÓ,27372,JURADÓ,160,7153,"2,24"
2022,1,15,BOYACÁ,15276,FLORESTA,116,3383,"3,43"
2023,1,94,GUAINÍA,94883,SAN FELIPE,35,1963,"1,78"
2023,1,25,CUNDINAMARCA,25483,NARIÑO,21,2741,"0,77"
2023,1,18,CAQUETA,18150,CARTAGENA DEL CHAIRÁ,390,32611,"1,20"
2021,4,15,BOYACÁ,15533,PAYA,13,2706,"0,48"
2022,4,15,BOYACÁ,15822,TOTA,55,5435,"1,01"
2023,2,18,CAQUETA,18479,MORELIA,74,3905,"1,90"
2022,4,94,GUAINÍA,94884,PUERTO COLOMBIA,2,2111,"0,09"
